ProbeID	1 Avg_ctrl	1 Avg_treat	1 FoldChange	1 Rank_modT	1 Rank_WAD	1 RP_origPvalue	1 RP_correctedPvalue	1 Rank_RP	1 DEG	Homolog_GID	Description	Function	TAIR-annotation	AGI	Symbol	short_description
POPTR_0005s07270.1	75.29149327	16.79693458	-4.482454397	646	101	0	0	34	DEG	AT3G62450.1	---	---	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 35 Blast hits to 35 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).	---	---	--
POPTR_0012s09230.1	120.4732309	10.84810039	-11.10546792	96	26	0	0	35	DEG	AT2G31880.1	Leucine-rich repeat protein kinase family protein	Encodes a putative leucine rich repeat transmembrane protein that is expressed in response to Pseudomonas syringae. Expression of SRRLK may be required for silencing via lsiRNAs.  Regulates cell death and innate immunity.	"SUPPRESSOR OF BIR1 1 (SOBIR1); FUNCTIONS IN: protein serine/threonine kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation, transmembrane receptor protein tyrosine kinase signaling pathway, positive regulation of defense response, negative regulation of floral organ abscission, positive regulation of cell death; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, catalytic domain (InterPro:IPR000719), Leucine-rich repeat (InterPro:IPR001611), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT5G63930.1); Has 176453 Blast hits to 132218 proteins in 4789 species: Archae - 165; Bacteria - 16198; Metazoa - 50399; Fungi - 11231; Plants - 77353; Viruses - 425; Other Eukaryotes - 20682 (source: NCBI BLink)."	AT2G31880	SOBIR1	SUPPRESSOR OF BIR1 
POPTR_0001s28930.1	123.3684018	54.19143267	-2.276529623	144	263	8.0	0.037861386	230	DEG	AT2G30170.1	Protein phosphatase 2C family protein	---	"Protein phosphatase 2C family protein; FUNCTIONS IN: phosphoprotein phosphatase activity, catalytic activity; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C-related (InterPro:IPR001932), Sporulation stage II, protein E C-terminal (InterPro:IPR010822); BEST Arabidopsis thaliana protein match is: Protein phosphatase 2C family protein (TAIR:AT4G16580.1); Has 36 Blast hits to 36 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."	---	---	--
POPTR_0006s03890.1	5.113068959	11.40272796	2.230114253	79	3031	8.0	0.03445045	196	DEG	AT2G41140.1	CDPK-related kinase 1	Encodes CDPK-related kinase 1 (CRK1).	"CDPK-related kinase 1 (CRK1); FUNCTIONS IN: calcium-dependent protein serine/threonine phosphatase activity, calmodulin-dependent protein kinase activity, kinase activity, calcium ion binding; INVOLVED IN: protein amino acid phosphorylation, N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase domain (InterPro:IPR002290), Calcium-dependent protein kinase (InterPro:IPR020642), Calcium/calmodulin-dependent protein kinase-like (InterPro:IPR020636), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT3G56760.1); Has 116311 Blast hits to 114570 proteins in 3026 species: Archae - 154; Bacteria - 14640; Metazoa - 43033; Fungi - 12673; Plants - 24419; Viruses - 507; Other Eukaryotes - 20885 (source: NCBI BLink)."	AT2G41140	CRK1	CDPK-related kinase 
POPTR_0007s04490.1	47.34750824	23.18358829	-2.042285588	902	646	0.0	0.049341935	332	DEG	AT5G63940.1	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	---	"Protein kinase protein with adenine nucleotide alpha hydrolases-like domain; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation, response to stress; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: UspA (InterPro:IPR006016), Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Protein kinase protein with adenine nucleotide alpha hydrolases-like domain (TAIR:AT1G21590.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	---	---	--
POPTR_0018s03710.1	50.87560241	11.1872208	-4.547653373	3290	406	4.0	0.028969697	155	DEG	AT5G10710.2	---	---	"INVOLVED IN: chromosome segregation, cell division; LOCATED IN: chromosome, centromeric region, nucleus; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Centromere protein Cenp-O (InterPro:IPR018464); Has 43 Blast hits to 43 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 11; Fungi - 0; Plants - 31; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink)."	---	---	--
POPTR_0009s15150.2	77.29346165	33.97030926	-2.27532405	2265	249	7.0	0.036369565	213	DEG	AT3G52730.1	ubiquinol-cytochrome C reductase UQCRX/QCR9-like family protein	---	"ubiquinol-cytochrome C reductase UQCRX/QCR9-like family protein; FUNCTIONS IN: ubiquinol-cytochrome-c reductase activity; INVOLVED IN: mitochondrial electron transport, ubiquinol to cytochrome c; LOCATED IN: mitochondrial envelope, mitochondrion, mitochondrial respiratory chain complex III, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Ubiquinol-cytochrome C reductase, UQCRX/QCR9-like (InterPro:IPR008027); Has 75 Blast hits to 75 proteins in 35 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 19; Plants - 51; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."	---	---	--
POPTR_0012s10420.2	25.15313618	62.47541167	2.483802069	1068	316	3.0	0.019643836	89	DEG	AT3G48710.1	DEK domain-containing chromatin associated protein	---	"DEK domain-containing chromatin associated protein; CONTAINS InterPro DOMAIN/s: DEK, C-terminal (InterPro:IPR014876); BEST Arabidopsis thaliana protein match is: DEK domain-containing chromatin associated protein (TAIR:AT5G63550.2); Has 53243 Blast hits to 30328 proteins in 1615 species: Archae - 67; Bacteria - 9231; Metazoa - 21090; Fungi - 5394; Plants - 2191; Viruses - 327; Other Eukaryotes - 14943 (source: NCBI BLink)."	---	---	--
POPTR_0013s15530.1	77.27118332	26.60975256	-2.903867037	2498	353	0.0	0.044123077	278	DEG	AT1G14320.1	Ribosomal protein L16p/L10e family protein	"Encodes a ribosomal protein L10 and may be involved in translation regulation. Semi-dominant mutations in SAC552 can suppress defects in acaulis5, which encodes a thermospermine synthase, by enhancing translation of acl5 and itself."	"SUPPRESSOR OF ACAULIS 52 (SAC52); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: cellular response to UV-B, translation; LOCATED IN: in 7 components; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L10e (InterPro:IPR001197), Ribosomal protein L10e/L16 (InterPro:IPR016180), Ribosomal protein L10e, conserved site (InterPro:IPR018255); BEST Arabidopsis thaliana protein match is: Ribosomal protein L16p/L10e family protein (TAIR:AT1G26910.1); Has 1679 Blast hits to 1677 proteins in 606 species: Archae - 325; Bacteria - 13; Metazoa - 562; Fungi - 162; Plants - 159; Viruses - 0; Other Eukaryotes - 458 (source: NCBI BLink)."	AT1G14320	SAC52	SUPPRESSOR OF ACAULIS 5
POPTR_0015s10570.1	79.62104921	199.321378	2.503375427	146	152	4.0	0.021977011	103	DEG	AT5G63420.1	RNA-metabolising metallo-beta-lactamase family protein	---	"embryo defective 2746 (emb2746); FUNCTIONS IN: hydrolase activity, DNA binding, catalytic activity; INVOLVED IN: metabolic process, embryo development ending in seed dormancy; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), RNA-metabolising metallo-beta-lactamase (InterPro:IPR011108), Beta-lactamase-like (InterPro:IPR001279), MYB-like (InterPro:IPR017877); BEST Arabidopsis thaliana protein match is: Homeodomain-like superfamily protein (TAIR:AT2G38250.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."	AT5G63420	emb2746	embryo defective 274
POPTR_0004s16350.1	16.79300718	6.500516925	-2.583334121	940	1918	8.0	0.036769231	218	DEG	AT2G21620.1	Adenine nucleotide alpha hydrolases-like superfamily protein	Encodes gene that is induced in response to dessication; mRNA expression is seen 10 and 24 hrs after start of dessication treatment.	"RD2; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to desiccation, response to stress; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: UspA (InterPro:IPR006016), Rossmann-like alpha/beta/alpha sandwich fold (InterPro:IPR014729); BEST Arabidopsis thaliana protein match is: Adenine nucleotide alpha hydrolases-like superfamily protein (TAIR:AT3G11930.1); Has 1069 Blast hits to 1068 proteins in 194 species: Archae - 66; Bacteria - 229; Metazoa - 119; Fungi - 58; Plants - 583; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink)."	AT2G21620	RD2	--
POPTR_0018s03460.1	12.82566223	27.86029492	2.172230519	121	1063	9.0	0.034693548	199	DEG	AT4G31540.1	exocyst subunit exo70 family protein G1	"A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree."	"exocyst subunit exo70 family protein G1 (EXO70G1); INVOLVED IN: exocytosis, vesicle docking involved in exocytosis; LOCATED IN: cytosol, exocyst; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Exo70 exocyst complex subunit (InterPro:IPR004140); BEST Arabidopsis thaliana protein match is: exocyst subunit exo70 family protein G2 (TAIR:AT1G51640.1); Has 805 Blast hits to 799 proteins in 127 species: Archae - 0; Bacteria - 1; Metazoa - 136; Fungi - 99; Plants - 561; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink)."	AT4G31540	EXO70G1	exocyst subunit exo70 family protein G
POPTR_0004s02750.1	15.70663955	7.235078472	-2.170901063	214	2128	0.0	0.044705036	286	DEG	AT1G11340.1	S-locus lectin protein kinase family protein	---	"S-locus lectin protein kinase family protein; FUNCTIONS IN: in 6 functions; INVOLVED IN: protein amino acid phosphorylation, recognition of pollen; LOCATED IN: endomembrane system; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Curculin-like (mannose-binding) lectin (InterPro:IPR001480), PAN-2 domain (InterPro:IPR013227), Apple-like (InterPro:IPR003609), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), EGF-like, type 3 (InterPro:IPR000742), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271), Protein kinase, catalytic domain (InterPro:IPR000719), S-locus glycoprotein (InterPro:IPR000858), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635); BEST Arabidopsis thaliana protein match is: S-locus lectin protein kinase family protein (TAIR:AT1G11410.1); Has 123060 Blast hits to 121063 proteins in 4656 species: Archae - 122; Bacteria - 13729; Metazoa - 45275; Fungi - 10148; Plants - 35343; Viruses - 433; Other Eukaryotes - 18010 (source: NCBI BLink)."	---	---	--
POPTR_0002s09400.2	17.17043477	6.228367861	-2.756811278	1385	1887	7.0	0.035978495	211	DEG	AT4G08690.1	Sec14p-like phosphatidylinositol transfer family protein	---	"Sec14p-like phosphatidylinositol transfer family protein; CONTAINS InterPro DOMAIN/s: Cellular retinaldehyde-binding/triple function, C-terminal (InterPro:IPR001251), Cellular retinaldehyde-binding/triple function, N-terminal (InterPro:IPR008273), Phosphatidylinositol transfer protein-like, N-terminal (InterPro:IPR011074); BEST Arabidopsis thaliana protein match is: Sec14p-like phosphatidylinositol transfer family protein (TAIR:AT1G22180.2); Has 2740 Blast hits to 2738 proteins in 233 species: Archae - 0; Bacteria - 0; Metazoa - 909; Fungi - 613; Plants - 887; Viruses - 0; Other Eukaryotes - 331 (source: NCBI BLink)."	---	---	--
POPTR_0010s05000.1	28.68937245	9.094735333	-3.154503281	2320	899	6.0	0.033348837	187	DEG	AT1G70370.2	polygalacturonase 2	---	polygalacturonase 2 (PG2); FUNCTIONS IN: polygalacturonase activity; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: BURP (InterPro:IPR004873); BEST Arabidopsis thaliana protein match is: BURP domain-containing protein (TAIR:AT1G23760.1).	AT1G70370	PG2	polygalacturonase 
POPTR_0005s10430.2	2747.33813	7656.52807	2.786889603	97	9	2.0	0.01620339	71	DEG	AT4G16444.1	---	---	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: CHD5-like protein (InterPro:IPR007514); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).	---	---	--
POPTR_0001s38370.1	14.82408587	49.88570115	3.365178912	27	294	0	0	41	DEG	AT2G29120.1	glutamate receptor 2.7	member of Putative ligand-gated ion channel subunit family	"glutamate receptor 2.7 (GLR2.7); FUNCTIONS IN: intracellular ligand-gated ion channel activity; INVOLVED IN: cellular calcium ion homeostasis, response to light stimulus; LOCATED IN: vacuole; EXPRESSED IN: stem, cotyledon, leaf whorl, leaf, stamen; EXPRESSED DURING: LP.06 six leaves visible, LP.04 four leaves visible, 4 anthesis, LP.10 ten leaves visible, LP.08 eight leaves visible; CONTAINS InterPro DOMAIN/s: Extracellular solute-binding protein, family 3 (InterPro:IPR001638), Ionotropic glutamate receptor (InterPro:IPR001320), Extracellular ligand-binding receptor (InterPro:IPR001828), Glutamate receptor-related (InterPro:IPR015683), Ionotropic glutamate-like receptor, plant (InterPro:IPR017103); BEST Arabidopsis thaliana protein match is: glutamate receptor 2.8 (TAIR:AT2G29110.1); Has 5217 Blast hits to 5121 proteins in 549 species: Archae - 76; Bacteria - 910; Metazoa - 3278; Fungi - 0; Plants - 643; Viruses - 0; Other Eukaryotes - 310 (source: NCBI BLink)."	AT2G29120	GLR2.7	glutamate receptor 2.
POPTR_0002s09600.1	1798.37143	3984.090371	2.215387936	90	27	8.0	0.033252174	186	DEG	AT1G78160.1	pumilio 7	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.	"pumilio 7 (PUM7); CONTAINS InterPro DOMAIN/s: Pumilio RNA-binding repeat (InterPro:IPR001313), Armadillo-like helical (InterPro:IPR011989), Armadillo-type fold (InterPro:IPR016024); BEST Arabidopsis thaliana protein match is: pumilio 8 (TAIR:AT1G22240.1); Has 2852 Blast hits to 1667 proteins in 231 species: Archae - 0; Bacteria - 0; Metazoa - 724; Fungi - 847; Plants - 715; Viruses - 0; Other Eukaryotes - 566 (source: NCBI BLink)."	AT1G78160	PUM7	pumilio 
POPTR_0019s01600.1	9.409965826	22.05910942	2.344228431	178	1304	7.0	0.031566038	174	DEG	AT2G03200.1	Eukaryotic aspartyl protease family protein	---	"Eukaryotic aspartyl protease family protein; FUNCTIONS IN: aspartic-type endopeptidase activity; INVOLVED IN: proteolysis; LOCATED IN: endomembrane system; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Peptidase aspartic (InterPro:IPR021109), Peptidase aspartic, catalytic (InterPro:IPR009007), Peptidase A1 (InterPro:IPR001461); BEST Arabidopsis thaliana protein match is: Eukaryotic aspartyl protease family protein (TAIR:AT1G01300.1); Has 2634 Blast hits to 2609 proteins in 245 species: Archae - 0; Bacteria - 0; Metazoa - 187; Fungi - 441; Plants - 1862; Viruses - 0; Other Eukaryotes - 144 (source: NCBI BLink)."	---	---	--
POPTR_0001s06240.5	353.7876551	28.96184421	-12.21564665	232	8	0	0	44	DEG	AT3G54500.1	---	---	BEST Arabidopsis thaliana protein match is: dentin sialophosphoprotein-related (TAIR:AT5G64170.1); Has 183 Blast hits to 175 proteins in 44 species: Archae - 0; Bacteria - 4; Metazoa - 38; Fungi - 11; Plants - 120; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).	---	---	--
POPTR_0008s04100.1	132.1526074	42.42123888	-3.115246297	802	135	3.0	0.024305085	124	DEG	AT1G61560.1	Seven transmembrane MLO family protein	"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO6 belongs to the clade IV, with AtMLO2, AtMLO3 and AtMLO12. The gene is expressed during early seedling growth, in roots and lateral root primordia, in flower and fruit abscission zone, in vascular system of cotyledons, young leaves and petals, in mature rosette leaves, in anthers, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s)."	"MILDEW RESISTANCE LOCUS O 6 (MLO6); FUNCTIONS IN: calmodulin binding; INVOLVED IN: defense response to fungus, incompatible interaction, cell death, defense response; LOCATED IN: plasma membrane; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Mlo-related protein (InterPro:IPR004326); BEST Arabidopsis thaliana protein match is: Seven transmembrane MLO family protein (TAIR:AT1G11310.1); Has 556 Blast hits to 535 proteins in 58 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 551; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink)."	AT1G61560	MLO6	MILDEW RESISTANCE LOCUS O 
POPTR_0002s20210.1	19.35970301	187.2495891	9.672131283	136	20	0	0	45	DEG	AT2G47500.1	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain	---	"P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain; FUNCTIONS IN: microtubule motor activity, ATP binding; INVOLVED IN: microtubule-based movement; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Calponin-homology (InterPro:IPR016146), Calponin-like actin-binding (InterPro:IPR001715), Kinesin, motor domain (InterPro:IPR001752); BEST Arabidopsis thaliana protein match is: kinesin 4 (TAIR:AT5G27000.1); Has 11938 Blast hits to 11443 proteins in 432 species: Archae - 0; Bacteria - 1; Metazoa - 5987; Fungi - 1397; Plants - 1883; Viruses - 0; Other Eukaryotes - 2670 (source: NCBI BLink)."	---	---	--
POPTR_0010s05900.1	75.99243476	25.60095226	-2.968344068	22	238	2.0	0.021244444	98	DEG	AT4G24740.1	FUS3-complementing gene 2	"a LAMMER-type protein kinase that co-precipitates with serine/arginine-rich (SR) proteins in vitro, interaction modulated by phosphorylation of the proteins."	"FUS3-complementing gene 2 (FC2); CONTAINS InterPro DOMAIN/s: Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase domain (InterPro:IPR002290), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: FUS3-complementing gene 1 (TAIR:AT3G53570.4); Has 78986 Blast hits to 77771 proteins in 2339 species: Archae - 44; Bacteria - 6536; Metazoa - 32511; Fungi - 11289; Plants - 12892; Viruses - 291; Other Eukaryotes - 15423 (source: NCBI BLink)."	AT4G24740	FC2	FUS3-complementing gene 
POPTR_0007s05410.2	128.8896746	302.6069563	2.34779828	349	125	8.0	0.032683761	180	DEG	AT2G22300.1	signal responsive 1	Encodes a putative CAM binding transcription factor. Loss of function mutations show enhanced resistance to fungal and bacterial pathogens suggesting that CAMTA functions to suppress defense responses.	"signal responsive 1 (SR1); FUNCTIONS IN: calmodulin binding, transcription regulator activity; INVOLVED IN: response to biotic stimulus; LOCATED IN: nucleus; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Immunoglobulin E-set (InterPro:IPR014756), Ankyrin repeat-containing domain (InterPro:IPR020683), CG-1 (InterPro:IPR005559), Ankyrin repeat (InterPro:IPR002110), IQ calmodulin-binding region (InterPro:IPR000048); BEST Arabidopsis thaliana protein match is: Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domains (TAIR:AT5G64220.2); Has 5346 Blast hits to 4463 proteins in 355 species: Archae - 34; Bacteria - 421; Metazoa - 3055; Fungi - 454; Plants - 566; Viruses - 42; Other Eukaryotes - 774 (source: NCBI BLink)."	AT2G22300	SR1	signal responsive 
POPTR_0011s04950.1	30.83807563	8.952399854	-3.444671388	1364	765	3.0	0.031173913	170	DEG	AT2G47960.1	---	---	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF974 (InterPro:IPR010378); Has 285 Blast hits to 284 proteins in 126 species: Archae - 0; Bacteria - 0; Metazoa - 150; Fungi - 68; Plants - 32; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).	---	---	--
POPTR_0010s07850.1	134.9968756	54.93334126	-2.457467042	423	183	5.0	0.035147059	204	DEG	AT3G23510.1	Cyclopropane-fatty-acyl-phospholipid synthase	---	"Cyclopropane-fatty-acyl-phospholipid synthase; FUNCTIONS IN: cyclopropane-fatty-acyl-phospholipid synthase activity; INVOLVED IN: lipid biosynthetic process; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Amine oxidase (InterPro:IPR002937), Cyclopropane-fatty-acyl-phospholipid/mycolic acid synthase (InterPro:IPR003333), Adrenodoxin reductase (InterPro:IPR000759); BEST Arabidopsis thaliana protein match is: Cyclopropane-fatty-acyl-phospholipid synthase (TAIR:AT3G23530.1); Has 15002 Blast hits to 14978 proteins in 1959 species: Archae - 119; Bacteria - 7379; Metazoa - 131; Fungi - 498; Plants - 325; Viruses - 0; Other Eukaryotes - 6550 (source: NCBI BLink)."	---	---	--
POPTR_0014s15570.2	38.2071959	17.25654809	-2.214069447	2093	686	0.0	0.047435115	316	DEG	AT5G55140.1	ribosomal protein L30 family protein	---	"ribosomal protein L30 family protein; FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation, ribosome biogenesis; LOCATED IN: ribosome, large ribosomal subunit; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L30p/L7e, conserved region (InterPro:IPR000517), Ribosomal protein L30, bacterial-type (InterPro:IPR005996), Ribosomal protein L30, ferredoxin-like fold domain (InterPro:IPR016082); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."	---	---	--
POPTR_0006s06150.1	137.6641087	52.6163352	-2.61637585	2413	89	1.0	0.0239	119	DEG	AT3G18670.1	Ankyrin repeat family protein	---	"Ankyrin repeat family protein; CONTAINS InterPro DOMAIN/s: Ankyrin repeat-containing domain (InterPro:IPR020683), Ankyrin repeat (InterPro:IPR002110); BEST Arabidopsis thaliana protein match is: Ankyrin repeat family protein (TAIR:AT5G04700.1); Has 4772 Blast hits to 3121 proteins in 218 species: Archae - 7; Bacteria - 222; Metazoa - 2187; Fungi - 197; Plants - 1396; Viruses - 2; Other Eukaryotes - 761 (source: NCBI BLink)."	---	---	--
POPTR_0016s08960.1	136.3372585	270.1126258	1.981209163	3513	130	0.0	0.044317881	281	DEG	AT3G09740.1	syntaxin of plants 71	syntaxin of plants 71 (SYP71)	"syntaxin of plants 71 (SYP71); FUNCTIONS IN: protein transporter activity; INVOLVED IN: intracellular protein transport, protein targeting to membrane; LOCATED IN: integral to membrane, endoplasmic reticulum, plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Target SNARE coiled-coil domain (InterPro:IPR000727), Syntaxin/epimorphin, conserved site (InterPro:IPR006012); BEST Arabidopsis thaliana protein match is: syntaxin of plants 72 (TAIR:AT3G45280.1); Has 541 Blast hits to 539 proteins in 136 species: Archae - 0; Bacteria - 0; Metazoa - 132; Fungi - 116; Plants - 188; Viruses - 0; Other Eukaryotes - 105 (source: NCBI BLink)."	AT3G09740	SYP71	syntaxin of plants 7
POPTR_0008s09440.1	61.01956422	23.94512433	-2.548308515	522	356	4.0	0.031344262	172	DEG	AT2G03480.1	QUASIMODO2 LIKE 2	"Encodes QUASIMODO2 LIKE2 (QUL2), a paralog of QUASIMODO2 (QUA2). AT1G78240 (QUA2), AT1G13860 (QUL1) and AT2G03480 (QUL2) form a clade with a possible role in plant vasculature development."	"QUASIMODO2 LIKE 2 (QUL2); LOCATED IN: mitochondrion; EXPRESSED IN: male gametophyte, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF248, methyltransferase putative (InterPro:IPR004159); BEST Arabidopsis thaliana protein match is: QUASIMODO2 LIKE 1 (TAIR:AT1G13860.3); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."	AT2G03480	QUL2	QUASIMODO2 LIKE 
